id;start_date;end_date;language
1;2019-05-10T06:05:46;2019-05-10T02:43:04;FRENCH
2;2019-05-11T00:07:17;2019-05-10T20:38:09;FRENCH
3;2019-05-11T00:51:03;2019-05-10T23:31:10;FRENCH
4;2019-05-10T05:30:33;2019-05-10T09:25:39;FRENCH
5;2019-05-10T19:31:46;2019-05-10T19:01:18;FRENCH
6;2019-05-10T10:41:30;2019-05-10T03:18:24;FRENCH
7;2019-05-10T15:37:22;2019-05-10T07:46:17;FRENCH
8;2019-05-10T15:53:00;2019-05-10T22:43:17;FRENCH
9;2019-05-10T04:58:32;2019-05-10T03:26:53;FRENCH
10;2019-05-10T07:45:55;2019-05-10T08:01:42;FRENCH
